inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
198.18.0.1,61049,198.18.0.28,443,192.168.5.2,61050,221.5.100.174,2011,198.18.0.1,61049,198.18.0.28,443,37,18578,34,5.500818,6.146427,7,drive.google.com,192.168.5.2,61050,221.5.100.174,2011,34,19919,28,5.45464,6.183160999999999,7
198.18.0.1,61048,198.18.0.28,443,192.168.5.2,61051,221.5.100.174,2011,198.18.0.1,61048,198.18.0.28,443,29,15734,33,5.500604,6.14478,4,drive.google.com,192.168.5.2,61051,221.5.100.174,2011,27,15806,29,5.454683,6.18049,4
198.18.0.1,61055,198.18.0.33,443,192.168.5.2,61056,221.5.100.174,2011,198.18.0.1,61055,198.18.0.33,443,117,80445,35,6.436154,5.211243,7,lh3.googleusercontent.com,192.168.5.2,61056,221.5.100.174,2011,76,60277,30,6.38949,5.247629,7
198.18.0.1,61057,198.18.0.34,443,192.168.5.2,61058,221.5.100.174,2011,198.18.0.1,61057,198.18.0.34,443,161,116886,36,6.447964,5.200129,7,fonts.gstatic.com,192.168.5.2,61058,221.5.100.174,2011,87,73339,31,6.401579,5.239713,7
198.18.0.1,61059,198.18.0.32,443,192.168.5.2,61060,221.5.100.174,2011,198.18.0.1,61059,198.18.0.32,443,136,83160,37,6.532328,5.115131,17,ssl.gstatic.com,192.168.5.2,61060,221.5.100.174,2011,102,77530,32,6.486215,5.150857,17
198.18.0.1,61061,198.18.0.72,443,192.168.5.2,61062,221.5.100.174,2011,198.18.0.1,61061,198.18.0.72,443,71,43822,38,6.545926,5.099989000000001,7,accounts.youtube.com,192.168.5.2,61062,221.5.100.174,2011,53,36736,33,6.499785,5.135744,7
198.18.0.1,61065,198.18.0.41,443,192.168.5.2,61066,221.5.100.174,2011,198.18.0.1,61065,198.18.0.41,443,71,28281,41,8.490207999999999,3.157732000000001,13,play.google.com,192.168.5.2,61066,221.5.100.174,2011,63,33889,34,8.444468,3.1934240000000003,13
198.18.0.1,61064,198.18.0.41,443,192.168.5.2,61067,221.5.100.174,2011,198.18.0.1,61064,198.18.0.41,443,11,2345,40,8.489569,0.1031089999999999,1,play.google.com,192.168.5.2,61067,221.5.100.174,2011,21,13051,35,8.444496000000001,0.1000689999999995,2
198.18.0.1,61068,198.18.0.36,443,192.168.5.2,61069,221.5.100.174,2011,198.18.0.1,61068,198.18.0.36,443,1415,1107768,42,8.510307,3.1377190000000006,17,www.gstatic.com,192.168.5.2,61069,221.5.100.174,2011,537,565264,36,8.465023,3.172851999999999,17
198.18.0.1,61070,198.18.0.38,443,192.168.5.2,61071,221.5.100.174,2011,198.18.0.1,61070,198.18.0.38,443,37,15177,43,8.810153,2.835853,7,content-autofill.googleapis.com,192.168.5.2,61071,221.5.100.174,2011,32,16708,38,8.763663,2.871730000000001,7
198.18.0.1,61072,198.18.0.19,443,192.168.5.2,61073,221.5.100.174,2011,198.18.0.1,61072,198.18.0.19,443,52,25617,44,9.198582,2.447719,9,clients4.google.com,192.168.5.2,61073,221.5.100.174,2011,49,29548,39,9.153053,2.4823699999999995,9
198.18.0.1,61074,198.18.0.41,443,192.168.5.2,61075,221.5.100.174,2011,198.18.0.1,61074,198.18.0.41,443,44,17080,45,9.217807,2.4300549999999994,7,play.google.com,192.168.5.2,61075,221.5.100.174,2011,38,19914,40,9.171152,2.4666870000000003,7
198.18.0.1,61082,198.18.0.21,443,192.168.5.2,61084,221.5.100.174,2011,198.18.0.1,61082,198.18.0.21,443,10,2361,48,11.566961,0.0781360000000006,1,clients2.google.com,192.168.5.2,61084,221.5.100.174,2011,19,12447,43,11.524929,0.0974830000000004,2
198.18.0.1,61083,198.18.0.22,443,192.168.5.2,61085,221.5.100.174,2011,198.18.0.1,61083,198.18.0.22,443,10,2363,49,11.567937,0.0775039999999993,1,update.googleapis.com,192.168.5.2,61085,221.5.100.174,2011,19,11087,44,11.525896,0.0965559999999996,2
198.18.0.1,61087,198.18.0.22,443,192.168.5.2,61088,221.5.100.174,2011,198.18.0.1,61087,198.18.0.22,443,43,19568,51,11.645721,0.2971830000000004,6,update.googleapis.com,192.168.5.2,61088,221.5.100.174,2011,41,22397,45,11.600967,0.3316499999999998,6
198.18.0.1,61086,198.18.0.21,443,192.168.5.2,61089,221.5.100.174,2011,198.18.0.1,61086,198.18.0.21,443,38,17853,50,11.645565,0.2817939999999996,6,clients2.google.com,192.168.5.2,61089,221.5.100.174,2011,34,18029,46,11.600984,0.3157300000000003,6
198.18.0.1,61090,198.18.0.23,5228,192.168.5.2,61091,221.5.100.174,2011,198.18.0.1,61090,198.18.0.23,5228,36,15589,52,11.687669,29.640794,4,mtalk.google.com,192.168.5.2,61091,221.5.100.174,2011,32,15648,47,11.640068,29.678566000000004,4
198.18.0.1,61092,198.18.0.24,443,192.168.5.2,61093,221.5.100.174,2011,198.18.0.1,61092,198.18.0.24,443,10,2336,53,11.688643,0.0964999999999989,1,android.clients.google.com,192.168.5.2,61093,221.5.100.174,2011,20,12512,48,11.642686,0.0994860000000006,2
198.18.0.1,61094,198.18.0.24,443,192.168.5.2,61095,221.5.100.174,2011,198.18.0.1,61094,198.18.0.24,443,60,19553,54,11.785235,29.566129,9,android.clients.google.com,192.168.5.2,61095,221.5.100.174,2011,48,22378,49,11.739283,29.604185,9
198.18.0.1,61096,198.18.0.10,443,192.168.5.2,61099,221.5.100.174,2011,198.18.0.1,61096,198.18.0.10,443,87,42445,55,11.8722,29.480049,15,accounts.google.com,192.168.5.2,61099,221.5.100.174,2011,92,52043,50,11.827719,29.514677,15
198.18.0.1,61097,198.18.0.16,443,192.168.5.2,61100,221.5.100.174,2011,198.18.0.1,61097,198.18.0.16,443,43,10659,56,11.873773,29.477862,9,www.googleapis.com,192.168.5.2,61100,221.5.100.174,2011,42,17980,52,11.828339,29.513096,9
198.18.0.1,61098,198.18.0.80,443,192.168.5.2,61101,221.5.100.174,2011,198.18.0.1,61098,198.18.0.80,443,30,13165,57,11.874388,29.479901,4,accountcapabilities-pa.googleapis.com,192.168.5.2,61101,221.5.100.174,2011,27,12639,51,11.828336,29.51543,4
198.18.0.1,61102,198.18.0.27,443,192.168.5.2,61103,221.5.100.174,2011,198.18.0.1,61102,198.18.0.27,443,103,50937,58,11.881064,29.470907,19,optimizationguide-pa.googleapis.com,192.168.5.2,61103,221.5.100.174,2011,96,57840,53,11.836021,29.506346,19
198.18.0.1,61104,198.18.0.28,443,192.168.5.2,61105,221.5.100.174,2011,198.18.0.1,61104,198.18.0.28,443,7338,5866985,59,12.080164,29.271667,101,drive.google.com,192.168.5.2,61105,221.5.100.174,2011,3018,3115982,54,12.033479,29.30793,99
198.18.0.1,61106,198.18.0.19,443,192.168.5.2,61107,221.5.100.174,2011,198.18.0.1,61106,198.18.0.19,443,52,20982,60,12.136965,29.214736,9,clients4.google.com,192.168.5.2,61107,221.5.100.174,2011,58,29181,55,12.090529,29.253204,9
198.18.0.1,61108,198.18.0.72,443,192.168.5.2,61109,221.5.100.174,2011,198.18.0.1,61108,198.18.0.72,443,46,24619,61,12.264495,29.085837,7,accounts.youtube.com,192.168.5.2,61109,221.5.100.174,2011,41,23816,56,12.218192,29.12224,7
198.18.0.1,61110,198.18.0.85,443,192.168.5.2,61111,221.5.100.174,2011,198.18.0.1,61110,198.18.0.85,443,40,18810,62,12.439729,28.912621,7,accounts.google.com.hk,192.168.5.2,61111,221.5.100.174,2011,40,22317,57,12.393305,28.949887000000004,7
198.18.0.1,61112,198.18.0.41,443,192.168.5.2,61113,221.5.100.174,2011,198.18.0.1,61112,198.18.0.41,443,236,132756,66,14.037022,27.314466000000003,34,play.google.com,192.168.5.2,61113,221.5.100.174,2011,289,157661,60,13.993012,27.348443000000003,34
198.18.0.1,61116,198.18.0.30,443,192.168.5.2,61120,221.5.100.174,2011,198.18.0.1,61116,198.18.0.30,443,469,353748,69,14.12612,27.225599000000003,17,apis.google.com,192.168.5.2,61120,221.5.100.174,2011,239,214818,63,14.079675,27.261582,17
198.18.0.1,61117,198.18.0.31,443,192.168.5.2,61121,221.5.100.174,2011,198.18.0.1,61117,198.18.0.31,443,46,17606,70,14.126313,27.225849,9,fonts.googleapis.com,192.168.5.2,61121,221.5.100.174,2011,43,22865,64,14.079688,27.263451,9
198.18.0.1,61114,198.18.0.32,443,192.168.5.2,61118,221.5.100.174,2011,198.18.0.1,61114,198.18.0.32,443,575,425293,67,14.124277,27.226875,27,ssl.gstatic.com,192.168.5.2,61118,221.5.100.174,2011,294,245940,61,14.078379,27.264867,27
198.18.0.1,61115,198.18.0.33,443,192.168.5.2,61119,221.5.100.174,2011,198.18.0.1,61115,198.18.0.33,443,111,65649,68,14.125911,27.225319,15,lh3.googleusercontent.com,192.168.5.2,61119,221.5.100.174,2011,88,58904,62,14.079486,27.264001000000004,13
198.18.0.1,61123,198.18.0.86,443,192.168.5.2,61125,221.5.100.174,2011,198.18.0.1,61123,198.18.0.86,443,54,25137,72,14.325639,27.02495,7,drive-thirdparty.googleusercontent.com,192.168.5.2,61125,221.5.100.174,2011,45,24487,65,14.279118,27.061441,5
198.18.0.1,61122,198.18.0.86,443,192.168.5.2,61126,221.5.100.174,2011,198.18.0.1,61122,198.18.0.86,443,10,2380,71,14.325432,0.0981200000000015,1,drive-thirdparty.googleusercontent.com,192.168.5.2,61126,221.5.100.174,2011,23,15837,66,14.279128,0.1002650000000002,2
198.18.0.1,61124,198.18.0.86,443,192.168.5.2,61127,221.5.100.174,2011,198.18.0.1,61124,198.18.0.86,443,10,2380,73,14.325795,0.0978589999999997,1,drive-thirdparty.googleusercontent.com,192.168.5.2,61127,221.5.100.174,2011,22,14688,67,14.279172,0.09938,2
198.18.0.1,61128,198.18.0.35,443,192.168.5.2,61129,221.5.100.174,2011,198.18.0.1,61128,198.18.0.35,443,63,20604,74,14.443016,26.907365,15,clients6.google.com,192.168.5.2,61129,221.5.100.174,2011,60,27200,68,14.396559,26.943854,15
198.18.0.1,61130,198.18.0.36,443,192.168.5.2,61131,221.5.100.174,2011,198.18.0.1,61130,198.18.0.36,443,772,578394,75,14.455066,26.896215,35,www.gstatic.com,192.168.5.2,61131,221.5.100.174,2011,467,415702,69,14.409074,26.931506,35
198.18.0.1,61132,198.18.0.34,443,192.168.5.2,61133,221.5.100.174,2011,198.18.0.1,61132,198.18.0.34,443,207,142033,76,14.471318,26.879549,11,fonts.gstatic.com,192.168.5.2,61133,221.5.100.174,2011,103,87668,70,14.425865,26.914525999999995,11
198.18.0.1,61135,198.18.0.37,443,192.168.5.2,61136,221.5.100.174,2011,198.18.0.1,61135,198.18.0.37,443,99,29416,78,14.499802,26.851538,21,drivefrontend-pa.clients6.google.com,192.168.5.2,61136,221.5.100.174,2011,94,37530,71,14.453312,26.887885,21
198.18.0.1,61134,198.18.0.37,443,192.168.5.2,61137,221.5.100.174,2011,198.18.0.1,61134,198.18.0.37,443,27,14250,77,14.499637,0.097868,3,drivefrontend-pa.clients6.google.com,192.168.5.2,61137,221.5.100.174,2011,28,16711,72,14.453314,0.1340399999999988,3
198.18.0.1,61138,198.18.0.37,443,192.168.5.2,61139,221.5.100.174,2011,198.18.0.1,61138,198.18.0.37,443,10,2346,79,14.540884,0.0567670000000006,1,drivefrontend-pa.clients6.google.com,192.168.5.2,61139,221.5.100.174,2011,16,4248,73,14.495575,0.0936099999999999,1
198.18.0.1,61140,198.18.0.38,443,192.168.5.2,61141,221.5.100.174,2011,198.18.0.1,61140,198.18.0.38,443,50,12572,81,14.589426,26.763061,15,content-autofill.googleapis.com,192.168.5.2,61141,221.5.100.174,2011,52,22126,74,14.543815,26.798599,15
198.18.0.1,61142,198.18.0.35,443,192.168.5.2,61143,221.5.100.174,2011,198.18.0.1,61142,198.18.0.35,443,655,515474,85,14.788194,26.562987,19,clients6.google.com,192.168.5.2,61143,221.5.100.174,2011,397,355629,75,14.742272,26.600937,19
198.18.0.1,61144,198.18.0.39,443,192.168.5.2,61147,221.5.100.174,2011,198.18.0.1,61144,198.18.0.39,443,44,17300,86,14.791977,26.560638,7,ogads-pa.clients6.google.com,192.168.5.2,61147,221.5.100.174,2011,41,23736,77,14.746265,26.596893,7
198.18.0.1,61145,198.18.0.40,443,192.168.5.2,61146,221.5.100.174,2011,198.18.0.1,61145,198.18.0.40,443,55,24692,87,14.792792,26.559592,9,waa-pa.clients6.google.com,192.168.5.2,61146,221.5.100.174,2011,44,26915,76,14.746264,26.598051,9
198.18.0.1,61148,198.18.0.37,443,192.168.5.2,61149,221.5.100.174,2011,198.18.0.1,61148,198.18.0.37,443,241,133218,88,14.836435,26.516229,35,drivefrontend-pa.clients6.google.com,192.168.5.2,61149,221.5.100.174,2011,260,145123,78,14.789861,26.553314,35
198.18.0.1,61150,198.18.0.40,443,192.168.5.2,61151,221.5.100.174,2011,198.18.0.1,61150,198.18.0.40,443,120,74762,89,14.958982,26.394435,9,waa-pa.clients6.google.com,192.168.5.2,61151,221.5.100.174,2011,79,55471,79,14.912725,26.433373,9
198.18.0.1,61152,198.18.0.39,443,192.168.5.2,61153,221.5.100.174,2011,198.18.0.1,61152,198.18.0.39,443,44,19904,90,14.974893,26.378599,7,ogads-pa.clients6.google.com,192.168.5.2,61153,221.5.100.174,2011,45,26190,80,14.928306,26.417763,7
198.18.0.1,61154,198.18.0.11,443,192.168.5.2,61155,221.5.100.174,2011,198.18.0.1,61154,198.18.0.11,443,91,55725,91,15.15747,26.196443,9,www.google.com,192.168.5.2,61155,221.5.100.174,2011,65,42612,81,15.111066,26.232684,9
198.18.0.1,61156,198.18.0.41,443,192.168.5.2,61157,221.5.100.174,2011,198.18.0.1,61156,198.18.0.41,443,27,6467,92,15.406863,25.946521,7,play.google.com,192.168.5.2,61157,221.5.100.174,2011,32,9463,82,15.360523,25.982792,7
198.18.0.1,61158,198.18.0.42,443,192.168.5.2,61159,221.5.100.174,2011,198.18.0.1,61158,198.18.0.42,443,51,24022,93,15.432981,25.918277000000003,9,people-pa.clients6.google.com,192.168.5.2,61159,221.5.100.174,2011,56,32514,83,15.387169,25.953187,9
198.18.0.1,61160,198.18.0.43,443,192.168.5.2,61161,221.5.100.174,2011,198.18.0.1,61160,198.18.0.43,443,40,16983,94,15.616023,25.735382,7,addons-pa.clients6.google.com,192.168.5.2,61161,221.5.100.174,2011,45,24406,84,15.571705,25.769529,7
198.18.0.1,61162,198.18.0.43,443,192.168.5.2,61163,221.5.100.174,2011,198.18.0.1,61162,198.18.0.43,443,46,20099,95,15.938862,25.414342,7,addons-pa.clients6.google.com,192.168.5.2,61163,221.5.100.174,2011,48,27559,85,15.892443,25.45082,7
198.18.0.1,61164,198.18.0.34,443,192.168.5.2,61165,221.5.100.174,2011,198.18.0.1,61164,198.18.0.34,443,34,14025,96,16.307742,25.042556,7,fonts.gstatic.com,192.168.5.2,61165,221.5.100.174,2011,31,16424,86,16.260982,25.082133,7
198.18.0.1,61166,198.18.0.108,443,192.168.5.2,61167,221.5.100.174,2011,198.18.0.1,61166,198.18.0.108,443,34,14262,97,18.321123,23.029364,7,drive.usercontent.google.com,192.168.5.2,61167,221.5.100.174,2011,35,16676,87,18.274541,23.065040000000003,7
198.18.0.1,61168,198.18.0.45,443,192.168.5.2,61169,221.5.100.174,2011,198.18.0.1,61168,198.18.0.45,443,68,32118,98,18.528489,22.825263,9,youtube.googleapis.com,192.168.5.2,61169,221.5.100.174,2011,52,32071,88,18.482035,22.861677,9
198.18.0.1,61170,198.18.0.32,443,192.168.5.2,61171,221.5.100.174,2011,198.18.0.1,61170,198.18.0.32,443,36,14504,99,18.611964,22.741029,7,ssl.gstatic.com,192.168.5.2,61171,221.5.100.174,2011,31,16315,89,18.56563,22.777718,7
198.18.0.1,61172,198.18.0.46,443,192.168.5.2,61173,221.5.100.174,2011,198.18.0.1,61172,198.18.0.46,443,265,197727,100,18.615651,22.737394,15,docs.google.com,192.168.5.2,61173,221.5.100.174,2011,169,137765,90,18.569218,22.774081,15
198.18.0.1,61174,198.18.0.108,443,192.168.5.2,61175,221.5.100.174,2011,198.18.0.1,61174,198.18.0.108,443,78798,62860245,101,18.667105,22.686,23,drive.usercontent.google.com,192.168.5.2,61175,221.5.100.174,2011,31505,28607308,91,18.620962,22.724585000000005,31
198.18.0.1,61176,198.18.0.47,443,192.168.5.2,61177,221.5.100.174,2011,198.18.0.1,61176,198.18.0.47,443,800,634443,102,18.6752,22.677821,15,contacts.google.com,192.168.5.2,61177,221.5.100.174,2011,392,382528,92,18.628703,22.714628,15
198.18.0.1,61178,198.18.0.44,443,192.168.5.2,61179,221.5.100.174,2011,198.18.0.1,61178,198.18.0.44,443,82,49386,103,18.790563,22.563216000000004,7,ogs.google.com,192.168.5.2,61179,221.5.100.174,2011,60,40792,93,18.74416,22.599068000000003,7
198.18.0.1,61180,198.18.0.48,443,192.168.5.2,61181,221.5.100.174,2011,198.18.0.1,61180,198.18.0.48,443,63,19488,104,19.299909,22.052094000000004,13,signaler-pa.clients6.google.com,192.168.5.2,61181,221.5.100.174,2011,57,29966,94,19.253366,22.090981,13
198.18.0.1,61182,198.18.0.48,443,192.168.5.2,61183,221.5.100.174,2011,198.18.0.1,61182,198.18.0.48,443,73,29713,105,19.579939,21.773324,11,signaler-pa.clients6.google.com,192.168.5.2,61183,221.5.100.174,2011,64,35655,95,19.533513,21.809768,11
198.18.0.1,61197,198.18.0.109,443,192.168.5.2,61198,221.5.100.174,2011,198.18.0.1,61197,198.18.0.109,443,50,27993,109,37.041822,4.292895999999999,7,sb-ssl.google.com,192.168.5.2,61198,221.5.100.174,2011,49,29450,99,36.995419,4.328464000000004,7
