,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
78,198.18.0.1,60337,198.18.0.115,443,192.168.5.2,60338,221.5.100.174,2011,198.18.0.1,60337,198.18.0.115,443,10,2275,101,9.878756,0.0373420000000006,1,web-sdk-assets.spotifycdn.com,192.168.5.2,60338,221.5.100.174,2011,17,5102,83,9.928099,0.0827629999999999,1
79,198.18.0.1,60339,198.18.0.135,443,192.168.5.2,60340,221.5.100.174,2011,198.18.0.1,60339,198.18.0.135,443,1982,1586553,104,10.922107,2.64302,10,video-akpcw.spotifycdn.com,192.168.5.2,60340,221.5.100.174,2011,687,777397,86,10.97126,2.683242,10
80,198.18.0.1,60353,198.18.0.84,443,192.168.5.2,60354,221.5.100.174,2011,198.18.0.1,60353,198.18.0.84,443,27,7754,113,13.575683,0.181718,6,open.spotifycdn.com,192.168.5.2,60354,221.5.100.174,2011,30,14462,91,13.626687,0.2163579999999996,6
81,198.18.0.1,60359,198.18.0.84,443,192.168.5.2,60360,221.5.100.174,2011,198.18.0.1,60359,198.18.0.84,443,738,455938,116,13.771393,233.455386,106,open.spotifycdn.com,192.168.5.2,60360,221.5.100.174,2011,409,333517,94,13.82164,233.496265,106
82,198.18.0.1,60363,198.18.0.81,443,192.168.5.2,60364,221.5.100.174,2011,198.18.0.1,60363,198.18.0.81,443,23,3699,119,14.227159,62.602001,3,open.spotify.com,192.168.5.2,60364,221.5.100.174,2011,27,6526,95,14.276435,62.645375,3
83,198.18.0.1,60369,198.18.0.86,443,192.168.5.2,60370,221.5.100.174,2011,198.18.0.1,60369,198.18.0.86,443,183,65342,123,14.391731,232.835965,33,api-partner.spotify.com,192.168.5.2,60370,221.5.100.174,2011,151,72140,97,14.441176,232.878093,33
84,198.18.0.1,60378,198.18.0.95,443,192.168.5.2,60380,221.5.100.174,2011,198.18.0.1,60378,198.18.0.95,443,1432,1141983,125,15.01929,167.86819899999998,12,i.scdn.co,192.168.5.2,60380,221.5.100.174,2011,655,694801,99,15.068681,122.905395,12
85,198.18.0.1,60379,198.18.0.100,443,192.168.5.2,60381,221.5.100.174,2011,198.18.0.1,60379,198.18.0.100,443,91,14018,126,15.021154,232.206701,17,spclient.wg.spotify.com,192.168.5.2,60381,221.5.100.174,2011,80,22874,100,15.070519,232.248005,17
86,198.18.0.1,60385,198.18.0.111,443,192.168.5.2,60386,221.5.100.174,2011,198.18.0.1,60385,198.18.0.111,443,67,10222,129,15.493578,231.733161,7,www.spotify.com,192.168.5.2,60386,221.5.100.174,2011,60,15735,101,15.589443,231.727614,7
87,198.18.0.1,60389,198.18.0.88,443,192.168.5.2,60390,221.5.100.174,2011,198.18.0.1,60389,198.18.0.88,443,318,107299,132,16.388231,230.839094,74,gae2-spclient.spotify.com,192.168.5.2,60390,221.5.100.174,2011,298,157442,102,16.437468,230.881199,74
88,198.18.0.1,60391,198.18.0.122,443,192.168.5.2,60392,221.5.100.174,2011,198.18.0.1,60391,198.18.0.122,443,64,15718,133,17.010837,230.21803,6,seektables.scdn.co,192.168.5.2,60392,221.5.100.174,2011,58,18166,103,17.059788,230.258763,6
89,198.18.0.1,60394,198.18.0.99,443,192.168.5.2,60396,221.5.100.174,2011,198.18.0.1,60394,198.18.0.99,443,75,10229,135,17.254761,229.972679,11,api.spotify.com,192.168.5.2,60396,221.5.100.174,2011,69,17196,105,17.303635,230.013392,11
90,198.18.0.1,60393,198.18.0.124,443,192.168.5.2,60395,221.5.100.174,2011,198.18.0.1,60393,198.18.0.124,443,11461,9095884,134,17.253596,229.975291,54,audio-ak-spotify-com.akamaized.net,192.168.5.2,60395,221.5.100.174,2011,4082,4302360,104,17.302735,230.017763,54
91,198.18.0.1,60397,198.18.0.84,443,192.168.5.2,60398,221.5.100.174,2011,198.18.0.1,60397,198.18.0.84,443,63,7952,136,17.843921,229.383002,6,open.spotifycdn.com,192.168.5.2,60398,221.5.100.174,2011,57,13299,106,17.893509,229.423416,6
92,198.18.0.1,60399,198.18.0.135,443,192.168.5.2,60400,221.5.100.174,2011,198.18.0.1,60399,198.18.0.135,443,1877,1469283,137,18.462408,228.766651,4,video-akpcw.spotifycdn.com,192.168.5.2,60400,221.5.100.174,2011,670,693414,107,18.511615,228.807004,4
93,198.18.0.1,60839,198.18.0.81,443,192.168.5.2,60842,221.5.100.174,2011,198.18.0.1,60839,198.18.0.81,443,116,42510,44,10.684825,237.563905,8,open.spotify.com,192.168.5.2,60842,221.5.100.174,2011,97,43163,38,10.801903,237.60288,8
