,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
18,198.18.0.1,56897,198.18.0.161,443,192.168.5.2,56898,120.232.217.159,2011,198.18.0.1,56897,198.18.0.161,443,41,18506,24,4.714818,2.322271,7,accounts.youtube.com,192.168.5.2,56898,120.232.217.159,2011,39,20383,24,4.5815660000000005,2.3608259999999994,7
32,198.18.0.1,56930,198.18.0.182,443,192.168.5.2,56932,120.232.217.159,2011,198.18.0.1,56930,198.18.0.182,443,10787,8350519,47,8.049872,245.292594,147,www.youtube.com,192.168.5.2,56932,120.232.217.159,2011,4886,3975447,41,7.916451,245.326453,147
34,198.18.0.1,56933,198.18.0.182,443,192.168.5.2,56934,120.232.217.159,2011,198.18.0.1,56933,198.18.0.182,443,37,16164,48,8.052493,60.465481,4,www.youtube.com,192.168.5.2,56934,120.232.217.159,2011,35,14774,42,7.9192,60.508968,4
35,198.18.0.1,56936,198.18.0.183,443,192.168.5.2,56938,120.232.217.159,2011,198.18.0.1,56936,198.18.0.183,443,22,11779,50,8.264792,0.1062820000000002,2,i.ytimg.com,192.168.5.2,56938,120.232.217.159,2011,27,11502,44,8.133989,0.1478809999999999,2
36,198.18.0.1,56935,198.18.0.183,443,192.168.5.2,56937,120.232.217.159,2011,198.18.0.1,56935,198.18.0.183,443,634,439298,49,8.261548,245.08115,29,i.ytimg.com,192.168.5.2,56937,120.232.217.159,2011,378,301588,43,8.133023,245.115267,29
38,198.18.0.1,56940,198.18.0.184,443,192.168.5.2,56943,120.232.217.159,2011,198.18.0.1,56940,198.18.0.184,443,45,12336,52,8.352613,165.232304,4,rr1---sn-i3belnll.googlevideo.com,192.168.5.2,56943,120.232.217.159,2011,40,12989,46,8.219383,120.26600100000002,4
39,198.18.0.1,56941,198.18.0.184,443,192.168.5.2,56944,120.232.217.159,2011,198.18.0.1,56941,198.18.0.184,443,45,12396,53,8.352813,165.232152,4,rr1---sn-i3belnll.googlevideo.com,192.168.5.2,56944,120.232.217.159,2011,42,14415,47,8.219543,120.268523,4
42,198.18.0.1,56949,198.18.0.206,443,192.168.5.2,56950,120.232.217.159,2011,198.18.0.1,56949,198.18.0.206,443,102237,82120616,56,8.893553,244.449999,46,rr2---sn-i3b7kn6s.googlevideo.com,192.168.5.2,56950,120.232.217.159,2011,38940,38280785,50,8.760515,244.487249,46
43,198.18.0.1,56953,198.18.0.207,443,192.168.5.2,56954,120.232.217.159,2011,198.18.0.1,56953,198.18.0.207,443,3931,3106116,59,8.918783,165.70474800000002,4,rr1---sn-i3belnl7.googlevideo.com,192.168.5.2,56954,120.232.217.159,2011,1593,1365979,51,8.785607,120.736689,4
45,198.18.0.1,56958,198.18.0.188,443,192.168.5.2,56959,120.232.217.159,2011,198.18.0.1,56958,198.18.0.188,443,27,12509,64,9.368932,0.636273000000001,4,rr3---sn-q4flrnee.googlevideo.com,192.168.5.2,56959,120.232.217.159,2011,32,14339,53,9.236128,0.6654899999999984,4
46,198.18.0.1,56957,198.18.0.188,443,192.168.5.2,56960,120.232.217.159,2011,198.18.0.1,56957,198.18.0.188,443,22,10481,63,9.368776,0.6704340000000002,4,rr3---sn-q4flrnee.googlevideo.com,192.168.5.2,56960,120.232.217.159,2011,29,14131,54,9.236347,0.7112819999999989,4
49,198.18.0.1,56974,198.18.0.188,443,192.168.5.2,56976,120.232.217.159,2011,198.18.0.1,56974,198.18.0.188,443,27,12543,76,10.062317,0.6594680000000004,4,rr3---sn-q4flrnee.googlevideo.com,192.168.5.2,56976,120.232.217.159,2011,31,13758,57,9.949514,0.6734739999999988,4
50,198.18.0.1,56967,198.18.0.188,443,192.168.5.2,56978,120.232.217.159,2011,198.18.0.1,56967,198.18.0.188,443,26,12403,69,10.007995,0.7185260000000007,4,rr3---sn-q4flrnee.googlevideo.com,192.168.5.2,56978,120.232.217.159,2011,29,14428,58,9.949514,0.6845159999999986,4
51,198.18.0.1,56970,198.18.0.190,443,192.168.5.2,56977,120.232.217.159,2011,198.18.0.1,56970,198.18.0.190,443,102,34524,72,10.059162,240.848836,10,yt3.ggpht.com,192.168.5.2,56977,120.232.217.159,2011,80,33573,59,9.949514,240.873839,10
56,198.18.0.1,56991,198.18.0.188,443,192.168.5.2,56993,120.232.217.159,2011,198.18.0.1,56991,198.18.0.188,443,26,12461,85,10.854512,0.6290680000000002,4,rr3---sn-q4flrnee.googlevideo.com,192.168.5.2,56993,120.232.217.159,2011,30,14150,65,10.7216,0.660283999999999,4
57,198.18.0.1,56992,198.18.0.188,443,192.168.5.2,56994,120.232.217.159,2011,198.18.0.1,56992,198.18.0.188,443,22,10418,86,10.854757,0.6331680000000013,4,rr3---sn-q4flrnee.googlevideo.com,192.168.5.2,56994,120.232.217.159,2011,29,13735,66,10.721665,0.6654909999999994,4
63,198.18.0.1,57005,198.18.0.194,443,192.168.5.2,57006,120.232.217.159,2011,198.18.0.1,57005,198.18.0.194,443,81,20760,93,11.558788,240.143087,8,youtube.com,192.168.5.2,57006,120.232.217.159,2011,68,22519,71,11.426812,240.17163,8
81,198.18.0.1,57197,198.18.0.207,443,192.168.5.2,57198,221.5.100.174,2011,198.18.0.1,57197,198.18.0.207,443,6488,5204944,164,251.414737,1.9287479999999848,4,rr1---sn-i3belnl7.googlevideo.com,192.168.5.2,57198,221.5.100.174,2011,2758,2409698,136,251.281383,1.9654439999999909,4
